id;name;description;price;product_size;image;image_content_type;product_category_id
1;Aço;Assistant;57374;XXL;../fake-data/blob/hipster.png;image/png;1
2;support navigate;Chilean reboot Dynamic;70131;L;../fake-data/blob/hipster.png;image/png;2
3;withdrawal THX Division;Metal;83023;L;../fake-data/blob/hipster.png;image/png;3
4;Mato throughput Rodovia;intermediate initiative Impressionante;32770;L;../fake-data/blob/hipster.png;image/png;4
5;Bola Pequeno;Computador CFP cinza;9548;L;../fake-data/blob/hipster.png;image/png;5
6;mobile São auxiliary;COM Implementation Lustroso;52784;M;../fake-data/blob/hipster.png;image/png;6
7;withdrawal invoice;Bicicleta Sapatos Rua;20319;M;../fake-data/blob/hipster.png;image/png;7
8;pixel methodical quantifying;rich Rondônia Forward;79521;M;../fake-data/blob/hipster.png;image/png;8
9;Computador Alagoas mobile;AGP verde-azulado;71562;XL;../fake-data/blob/hipster.png;image/png;9
10;escarlate solution;do Ergonômico Ergonômico;5859;S;../fake-data/blob/hipster.png;image/png;10
