id;placed_date;status;total_price;payment_method;payment_reference;customer_details_id
1;2021-04-14T12:31:29;PENDING;33498;IDEAL;Cambridgeshire invoice Buckinghamshire;1
2;2021-04-14T03:35:15;CANCELLED;25943;IDEAL;bypassing Avenida Sergipe;2
3;2021-04-14T18:57:27;REFUNDED;70368;CREDIT_CARD;program;2
4;2021-04-14T12:26:12;PAID;6346;IDEAL;COM;2
5;2021-04-14T17:29:13;PENDING;23194;IDEAL;program Loan Iranian;1
6;2021-04-14T22:39:48;PENDING;74315;IDEAL;invoice;2
7;2021-04-15T00:42:00;COMPLETED;46169;CREDIT_CARD;bleeding-edge;1
8;2021-04-14T23:46:44;CANCELLED;26007;CREDIT_CARD;Afeganistão Research;1
9;2021-04-14T19:11:33;COMPLETED;9536;IDEAL;generating;1
10;2021-04-14T22:33:20;COMPLETED;49243;CREDIT_CARD;override;1
